Close,Symbol,Adj Close,Close_lag_1,Low,Midpoint,High,Open,Close_lag_3
29374.15234375,3,29374.15234375,29001.720703125,28803.5859375,29202.1064453125,29600.626953125,28994.009765625,27362.4375
32127.267578125,3,32127.267578125,29374.15234375,29091.181640625,31123.1494140625,33155.1171875,29376.455078125,28840.953125
32782.0234375,3,32782.0234375,32127.267578125,32052.31640625,33330.4375,34608.55859375,32129.408203125,29001.720703125
31971.9140625,3,31971.9140625,32782.0234375,28722.755859375,31081.4873046875,33440.21875,32810.94921875,29374.15234375
33992.4296875,3,33992.4296875,31971.9140625,30221.1875,32329.388671875,34437.58984375,31977.041015625,32127.267578125
36824.36328125,3,36824.36328125,33992.4296875,33514.03515625,35196.8671875,36879.69921875,34013.61328125,32782.0234375
39371.04296875,3,39371.04296875,36824.36328125,36491.19140625,38335.779296875,40180.3671875,36833.875,31971.9140625
40797.609375,3,40797.609375,39371.04296875,36838.63671875,39392.6875,41946.73828125,39381.765625,33992.4296875
40254.546875,3,40254.546875,40797.609375,38980.875,40208.61328125,41436.3515625,40788.640625,36824.36328125
38356.44140625,3,38356.44140625,40254.546875,35984.62890625,38702.41015625,41420.19140625,40254.21875,39371.04296875
35566.65625,3,35566.65625,38356.44140625,30549.599609375,34448.0654296875,38346.53125,38346.53125,40797.609375
33922.9609375,3,33922.9609375,35566.65625,32697.9765625,34633.251953125,36568.52734375,35516.359375,40254.546875
37316.359375,3,37316.359375,33922.9609375,32584.66796875,35092.314453125,37599.9609375,33915.12109375,38356.44140625
39187.328125,3,39187.328125,37316.359375,36868.5625,38417.484375,39966.40625,37325.109375,35566.65625
36825.3671875,3,36825.3671875,39187.328125,34659.58984375,37118.650390625,39577.7109375,39156.70703125,33922.9609375
36178.140625,3,36178.140625,36825.3671875,35633.5546875,36748.9609375,37864.3671875,36821.6484375,37316.359375
35791.27734375,3,35791.27734375,36178.140625,34069.3203125,35395.8359375,36722.3515625,36163.6484375,39187.328125
36630.07421875,3,36630.07421875,35791.27734375,34883.84375,36091.564453125,37299.28515625,35792.23828125,36825.3671875
36069.8046875,3,36069.8046875,36630.07421875,36069.8046875,36912.84765625,37755.890625,36642.234375,36178.140625
35547.75,3,35547.75,36069.8046875,33570.4765625,34974.40234375,36378.328125,36050.11328125,35791.27734375
30825.69921875,3,30825.69921875,35547.75,30250.75,32901.71484375,35552.6796875,35549.3984375,36630.07421875
33005.76171875,3,33005.76171875,30825.69921875,28953.373046875,31382.6123046875,33811.8515625,30817.625,36069.8046875
32067.642578125,3,32067.642578125,33005.76171875,31493.16015625,32427.068359375,33360.9765625,32985.7578125,35547.75
32289.37890625,3,32289.37890625,32067.642578125,31106.685546875,32025.3466796875,32944.0078125,32064.376953125,30825.69921875
32366.392578125,3,32366.392578125,32289.37890625,32087.787109375,33445.2646484375,34802.7421875,32285.798828125,33005.76171875
32569.849609375,3,32569.849609375,32366.392578125,31030.265625,31912.408203125,32794.55078125,32358.61328125,32067.642578125
30432.546875,3,30432.546875,32569.849609375,29367.138671875,30965.583984375,32564.029296875,32564.029296875,32289.37890625
33466.09765625,3,33466.09765625,30432.546875,30023.20703125,31940.759765625,33858.3125,30441.041015625,32366.392578125
34316.38671875,3,34316.38671875,33466.09765625,32064.814453125,35235.5380859375,38406.26171875,34318.671875,32569.849609375
34269.5234375,3,34269.5234375,34316.38671875,32940.1875,33887.447265625,34834.70703125,34295.93359375,30432.546875
33114.359375,3,33114.359375,34269.5234375,32270.17578125,33279.25390625,34288.33203125,34270.87890625,33466.09765625
33537.17578125,3,33537.17578125,33114.359375,32384.228515625,33511.2216796875,34638.21484375,33114.578125,34316.38671875
35510.2890625,3,35510.2890625,33537.17578125,33489.21875,34693.05078125,35896.8828125,33533.19921875,34269.5234375
37472.08984375,3,37472.08984375,35510.2890625,35443.984375,36462.0859375,37480.1875,35510.8203125,33114.359375
36926.06640625,3,36926.06640625,37472.08984375,36317.5,37454.837890625,38592.17578125,37475.10546875,33537.17578125
38144.30859375,3,38144.30859375,36926.06640625,36658.76171875,37442.333984375,38225.90625,36931.546875,35510.2890625
39266.01171875,3,39266.01171875,38144.30859375,38138.38671875,39492.466796875,40846.546875,38138.38671875,37472.08984375
38903.44140625,3,38903.44140625,39266.01171875,37446.15234375,38533.994140625,39621.8359375,39250.19140625,36926.06640625
46196.46484375,3,46196.46484375,38903.44140625,38076.32421875,42140.126953125,46203.9296875,38886.828125,38144.30859375
46481.10546875,3,46481.10546875,46196.46484375,45166.9609375,46585.341796875,48003.72265625,46184.9921875,39266.01171875
44918.18359375,3,44918.18359375,46481.10546875,43881.15234375,45513.359375,47145.56640625,46469.76171875,38903.44140625
47909.33203125,3,47909.33203125,44918.18359375,44187.76171875,46325.615234375,48463.46875,44898.7109375,46196.46484375
47504.8515625,3,47504.8515625,47909.33203125,46424.9765625,47585.35546875,48745.734375,47877.03515625,46481.10546875
47105.515625,3,47105.515625,47504.8515625,46392.28125,47220.013671875,48047.74609375,47491.203125,44918.18359375
48717.2890625,3,48717.2890625,47105.515625,47114.5078125,48301.07421875,49487.640625,47114.5078125,47909.33203125
47945.05859375,3,47945.05859375,48717.2890625,46347.4765625,47611.5234375,48875.5703125,48696.53515625,47504.8515625
49199.87109375,3,49199.87109375,47945.05859375,47201.3046875,48771.203125,50341.1015625,47944.45703125,47105.515625
52149.0078125,3,52149.0078125,49199.87109375,49072.37890625,50803.146484375,52533.9140625,49207.27734375,48717.2890625
51679.796875,3,51679.796875,52149.0078125,51015.765625,51744.935546875,52474.10546875,52140.97265625,47945.05859375
55888.1328125,3,55888.1328125,51679.796875,50937.27734375,53525.46484375,56113.65234375,51675.98046875,49199.87109375
56099.51953125,3,56099.51953125,55888.1328125,54626.55859375,56065.892578125,57505.2265625,55887.3359375,52149.0078125
57539.9453125,3,57539.9453125,56099.51953125,55672.609375,57001.58984375,58330.5703125,56068.56640625,51679.796875
54207.3203125,3,54207.3203125,57539.9453125,48967.56640625,53250.478515625,57533.390625,57532.73828125,55888.1328125
48824.42578125,3,48824.42578125,54207.3203125,45290.58984375,49747.759765625,54204.9296875,54204.9296875,56099.51953125
49705.33203125,3,49705.33203125,48824.42578125,47213.5,49251.818359375,51290.13671875,48835.0859375,57539.9453125
47093.8515625,3,47093.8515625,49705.33203125,47093.8515625,49521.41015625,51948.96875,49709.08203125,54207.3203125
46339.76171875,3,46339.76171875,47093.8515625,44454.84375,46412.814453125,48370.78515625,47180.46484375,48824.42578125
46188.453125,3,46188.453125,46339.76171875,45269.02734375,46761.1484375,48253.26953125,46344.7734375,49705.33203125
45137.76953125,3,45137.76953125,46188.453125,43241.6171875,44979.0234375,46716.4296875,46194.015625,47093.8515625
